Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-CA,CA-18,176700,156500,12483000,306100,1159800,4026000,1168000,50767500,673600,737850,1649250,138950
US,US-CA,CA-19,104700,92700,7411500,181300,687000,2385000,691500,30060000,399100,436800,975750,82300
US,US-CA,CA-2,142700,126450,10075750,247275,936900,3252000,943500,41017500,544200,596175,1332750,112250
US,US-CA,CA-20,123600,109450,8737000,214100,811200,2816000,817000,35497500,471100,516000,1153500,97200
US,US-CA,CA-21,167900,147750,12092000,288950,1096300,3808000,1102500,47865000,636500,692550,1542750,130650
US,US-CA,CA-22,211000,185000,15117250,361800,1372400,4762000,1380000,59947500,796000,867225,1935750,163800
US,US-CA,CA-23,108600,95700,7750500,187200,709900,2464000,714000,30997500,412200,449700,1002750,84850
US,US-CA,CA-24,129200,114400,9152750,223775,848100,2944000,854000,37095000,492600,539100,1204500,101450
US,US-CA,CA-25,525000,457500,38078750,894800,3396300,11788000,3413000,148102500,1968900,2136600,4761750,404850
US,US-CA,CA-26,172800,151950,12351500,297150,1126800,3911000,1133500,49230000,653800,713325,1592250,134700
US,US-CA,CA-27,126900,112250,8980500,219600,832200,2888000,838000,36397500,483300,529125,1182000,99600
US,US-CA,CA-28,206300,182350,14633750,356675,1351800,4692000,1361000,59107500,784900,858825,1918500,161700
